"","name","latitude","longitude","start.station.id"
"277","Catherine St & Monroe St",40.71117444,-73.99682619,2009
"278","E 91 St & 2 Ave",40.7811223,-73.94965589,3305
"279","5 Ave & E 103 St",40.7922553,-73.95249933,3367
"280","Central Park West & W 100 St",40.79406661,-73.96286845,3320
"281","Riverside Dr & W 82 St",40.78720869,-73.98128127,3169
"282","Broadway & Berry St",40.71044554,-73.96525063,389
"283","E 43 St & 2 Ave",40.75022392,-73.97121414,2017
"284","N 12 St & Bedford Ave",40.72079821,-73.95484712,3101
"285","E 88 St & 1 Ave",40.778301,-73.9488134,3288
"286","E 72 St & Park Ave",40.77118288,-73.96409422,3139
"287","Union Ave & N 12 St",40.71924,-73.95242,3096
"288","Avenue D & E 8 St",40.72368361,-73.97574813,266
"289","William St & Pine St",40.70717936,-74.00887308,360
"290","Water - Whitehall Plaza",40.70255065,-74.0127234,534
"291","Riverside Dr & W 78 St",40.78414472,-73.98362492,3178
"292","E 102 St & 1 Ave",40.7869946,-73.94164802,3351
"293","Park Pl & Church St",40.71334184,-74.00935516,3690
"294","W 78 St & Broadway",40.78339981,-73.98093133,3162
"295","Columbia St & Rivington St",40.71739973,-73.98016555,342
"296","Madison St & Clinton St",40.71269042,-73.98776323,340
"297","Jay St & York St",40.70140317,-73.9867267,3674
"298","E 81 St & York Ave",40.7728384,-73.94989233,3151
"299","Centre St & Worth St",40.71494807,-74.00234482,386
"300","E 89 St & 3 Ave",40.7806284,-73.9521667,3286
"301","W 106 St & Central Park West",40.7981856,-73.9605909,3323
"302","Spruce St & Nassau St",40.71146364,-74.00552427,224
"303","Greenpoint Ave & Manhattan Ave",40.73026,-73.95394,3113
"304","E 47 St & 1 Ave",40.75206862,-73.96784384,516
"305","Broadway & Roebling St",40.70924826,-73.96063149,3078
"306","E 81 St & 2 Ave",40.77477945,-73.95427465,3671
"307","Duane St & Greenwich St",40.71748752,-74.0104554,276
"308","Frederick Douglass Blvd & W 117 St",40.805159,-73.954692,3534
"309","Grand St & Havemeyer St",40.71286844,-73.95698119,471
"310","Riverside Dr & W 104 St",40.8013434,-73.97114574,3331
"311","John St & William St",40.70862144,-74.00722156,376
"312","St James Pl & Oliver St",40.71307916,-73.99851193,308
"313","3 Ave & E 62 St",40.76312584,-73.96526895,3134
"314","Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,3553
"315","West End Ave & W 94 St",40.7941654,-73.974124,3307
"316","Broadway & Moylan Pl",40.8143256,-73.9590255,3547
"317","Madison St & Montgomery St",40.713126,-73.984844,291
"318","McGuinness Blvd & Eagle St",40.73555,-73.95284,3118
"319","Huron St & Franklin St",40.73266,-73.95826,3116
"320","E 33 St & 5 Ave",40.74765947,-73.98490707,526
"321","Riverside Dr & W 91 St",40.79313481,-73.97700369,3437
"322","Market St & Cherry St",40.71076228,-73.99400398,408
"323","India St & Manhattan Ave",40.73232194,-73.9550858,3115
"324","Harrison St & Hudson St",40.71870987,-74.0090009,249
"325","Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,3087
"326","46 Ave & 5 St",40.74731,-73.95451,3124
"327","E 76 St & Park Ave",40.773763,-73.96222088,3378
"328","Amsterdam Ave & W 66 St",40.7746671,-73.98470567,3356
"329","31 St & 23 Ave",40.7747878,-73.9125551,3526
"330","W 74 St & Columbus Ave",40.7785669,-73.97754961,3172
"331","Cathedral Pkwy & Broadway",40.804213,-73.96699104,3383
"332","Avenue D & E 12 St",40.72580614,-73.97422494,339
"333","W 87 St & Amsterdam Ave",40.78839,-73.9747,3285
"334","Pleasant Ave & E 116 St",40.7949879,-73.9333349,3497
"335","E 65 St & 2 Ave",40.76471852,-73.9622207,3376
"336","Stanton St & Mangin St",40.71782143,-73.97628939,341
"337","Hope St & Union Ave",40.71167351,-73.95141312,3082
"338","E 97 St & Madison Ave",40.787801,-73.953559,3336
"339","W 88 St & West End Ave",40.79025417,-73.9771834,3434
"340","E 110 St & Madison Ave",40.7961535,-73.94782145,3400
"341","Bialystoker Pl & Delancey St",40.71622644,-73.98261206,356
"342","44 Dr & Jackson Ave",40.74718234,-73.9432635,3126
"343","31 St & Newtown Ave",40.76754878,-73.92093346,3721
"344","W 100 St & Manhattan Ave",40.795,-73.9645,3328
"345","Front St & Washington St",40.70255088,-73.98940236,2000
"346","Leonard St & Nassau Ave",40.72395678,-73.94984365,3668
"347","Roebling St & N 4 St",40.71469,-73.95739,3085
"348","E 89 St & York Ave",40.7779453,-73.946041,3290
"349","E 77 St & 3 Ave",40.77314236,-73.95856158,3154
"350","E 84 St & Park Ave",40.77862688,-73.95772073,3145
"351","St Nicholas Ave & Manhattan Ave",40.809725,-73.953149,3508
"352","W 92 St & Broadway",40.7921,-73.9739,3293
"353","Devoe St & Lorimer St",40.71335226,-73.94910336,3453
"354","E 75 St & 3 Ave",40.77112927,-73.95772297,3135
"355","Driggs Ave & N Henry St",40.72325,-73.94308,3106
"356","Nassau Ave & Newell St",40.72481256,-73.94752622,3100
"357","Kent Ave & S 11 St",40.70764494,-73.96841526,282
"358","1 Ave & E 94 St",40.7817212,-73.94594,3312
"359","Old Fulton St",40.70277159,-73.99383605,217
"360","5 Ave & E 93 St",40.7857851,-73.957481,3292
"361","Lenox Ave & W 126 St",40.808442,-73.9452087,3518
"362","Richardson St & N Henry St",40.71907891,-73.9422369,3430
"363","E 91 St & Park Ave",40.7835016,-73.955327,3294
"364","Broad St & Bridge St",40.70365182,-74.01167797,260
"365","Franklin St & Dupont St",40.73564,-73.95866,3117
"366","31 St & Broadway",40.761584,-73.925921,3593
"367","Lenox Ave & W 117 St",40.8025566,-73.9490782,3628
"368","E 82 St & East End Ave",40.7724607,-73.9468208,3369
"369","5 Ave & E 63 St",40.766368,-73.971518,3136
"370","Stagg St & Union Ave",40.70877084,-73.95095259,3077
"371","Graham Ave & Grand St",40.711863,-73.944024,3081
"372","W 110 St & Amsterdam Ave",40.802692,-73.96295,3538
"373","W 106 St & Amsterdam Ave",40.8008363,-73.96644925,3357
"374","St James Pl & Pearl St",40.71117416,-74.00016545,82
"375","E 78 St & 2 Ave",40.7727966,-73.95577801,3370
"376","E 55 St & 2 Ave",40.75797322,-73.96603308,385
"377","Lenox Ave & W 130 St",40.8107922,-73.9430681,3529
"378","E 55 St & 3 Ave",40.75899656,-73.96865398,3223
"379","E 85 St & York Ave",40.77536905,-73.94803392,3150
"380","1 Ave & E 110 St",40.7923272,-73.9383,3496
"381","Driggs Ave & Lorimer St",40.72179134,-73.9504154,3102
"382","E 68 St & 3 Ave",40.7671284,-73.96224618,3131
