"","start_id","start_name","start_latitude","start_longitude","end_id","end_name","end_latitude","end_longitude","n"
"156",394,"E 9 St & Avenue C",40.72521311,-73.97768752,259,"South St & Whitehall St",40.70122128,-74.01234218,11
"157",487,"E 20 St & FDR Drive",40.73314259,-73.97573881,259,"South St & Whitehall St",40.70122128,-74.01234218,11
"158",534,"Water - Whitehall Plaza",40.70255065,-74.0127234,260,"Broad St & Bridge St",40.70365182,-74.01167797,11
"159",2009,"Catherine St & Monroe St",40.71117444,-73.99682619,264,"Maiden Ln & Pearl St",40.70706456,-74.00731853,11
"160",360,"William St & Pine St",40.70717936,-74.00887308,264,"Maiden Ln & Pearl St",40.70706456,-74.00731853,11
"161",426,"West St & Chambers St",40.71754834,-74.01322069,264,"Maiden Ln & Pearl St",40.70706456,-74.00731853,11
"162",3733,"Avenue C & E 18 St",40.730563,-73.973984,264,"Maiden Ln & Pearl St",40.70706456,-74.00731853,11
"163",382,"University Pl & E 14 St",40.73492695,-73.99200509,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"164",312,"Allen St & Stanton St",40.722055,-73.989111,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"165",393,"E 5 St & Avenue C",40.72299208,-73.97995466,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"166",268,"Howard St & Centre St",40.71910537,-73.99973337,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"167",394,"E 9 St & Avenue C",40.72521311,-73.97768752,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"168",82,"St James Pl & Pearl St",40.71117416,-74.00016545,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,11
"169",531,"Forsyth St & Broome St",40.71893904,-73.99266288,266,"Avenue D & E 8 St",40.72368361,-73.97574813,11
"170",412,"Forsyth St & Canal St",40.7158155,-73.99422366,266,"Avenue D & E 8 St",40.72368361,-73.97574813,11
"171",502,"Henry St & Grand St",40.714215,-73.981346,266,"Avenue D & E 8 St",40.72368361,-73.97574813,11
"172",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,266,"Avenue D & E 8 St",40.72368361,-73.97574813,11
"173",355,"Bayard St & Baxter St",40.71602118,-73.99974372,266,"Avenue D & E 8 St",40.72368361,-73.97574813,11
